sentence_masked,sentence,aspect,polarity,polarity_label
They did n't give us the $T$ until we asked for it .,They did n't give us the dinner special until we asked for it .,dinner special,-1,negative
You must have the $T$ which is out of this world and the chocolate bread pudding for dessert .,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,crabmeat lasagna,1,positive
You must have the crabmeat lasagna which is out of this world and the $T$ for dessert .,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,chocolate bread pudding,1,positive
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for $T$ .,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,dessert,1,positive
"word of advice , save room for $T$ and never leave until you 've had the tiramisu .","word of advice , save room for pasta dishes and never leave until you 've had the tiramisu .",pasta dishes,1,positive
"word of advice , save room for pasta dishes and never leave until you 've had the $T$ .","word of advice , save room for pasta dishes and never leave until you 've had the tiramisu .",tiramisu,1,positive
Very good $T$ and very good prices .,Very good service and very good prices .,service,1,positive
Very good service and very good $T$ .,Very good service and very good prices .,prices,1,positive
I recently went to this restaurant with some co-workers for $T$ and had an amazing time .,I recently went to this restaurant with some co-workers for lunch and had an amazing time .,lunch,0,neutral
"The $T$ was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .","The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .",service,1,positive
"The service was impeccable and unobtrusive -- the $T$ knows what they are there to do -- to know their menu , present your meal , and attend to your needs .","The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .",staff,1,positive
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their $T$ , present your meal , and attend to your needs .","The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .",menu,0,neutral
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your $T$ , and attend to your needs .","The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .",meal,0,neutral
Ess-A-Bagel -LRB- either by Sty-town or midtown -RRB- is by far the best $T$ in NY .,Ess-A-Bagel -LRB- either by Sty-town or midtown -RRB- is by far the best bagel in NY .,bagel,1,positive
Our $T$ was great too !,Our food was great too !,food,1,positive
"The most annoying thing , though , is the fact that the $T$ seem to be trained to drive revenue .","The most annoying thing , though , is the fact that the servers seem to be trained to drive revenue .",servers,-1,negative
"Get your $T$ to go , find a bench , and kick back with a plate of dumplings .","Get your food to go , find a bench , and kick back with a plate of dumplings .",food,0,neutral
"Get your food to go , find a bench , and kick back with a $T$ .","Get your food to go , find a bench , and kick back with a plate of dumplings .",plate of dumplings,1,positive
"Please try the $T$ , its just the most tender piece ever .","Please try the Filet Mignon , its just the most tender piece ever .",Filet Mignon,1,positive
"We were still sitting at the bar while we drank the $T$ , but facing away from the bar when we turned back around , the $ 2 was gone the people next to us said the bartender took it .","We were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the $ 2 was gone the people next to us said the bartender took it .",sangria,0,neutral
"We were still sitting at the $T$ while we drank the sangria , but facing away from the bar when we turned back around , the $ 2 was gone the people next to us said the bartender took it .","We were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the $ 2 was gone the people next to us said the bartender took it .",bar,0,neutral
"We were still sitting at the bar while we drank the sangria , but facing away from the $T$ when we turned back around , the $ 2 was gone the people next to us said the bartender took it .","We were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the $ 2 was gone the people next to us said the bartender took it .",bar,0,neutral
"We were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the $ 2 was gone the people next to us said the $T$ took it .","We were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the $ 2 was gone the people next to us said the bartender took it .",bartender,-1,negative
The $T$ should not be overlooked !,The sake menu should not be overlooked !,sake menu,1,positive
the $T$ are amazing and half off till 8pm .,the drinks are amazing and half off till 8pm .,drinks,1,positive
i 've been back to nha trang literally a hundred times for the $T$ - they 're that good .,i 've been back to nha trang literally a hundred times for the beef cubes - they 're that good .,beef cubes,1,positive
"The $T$ , wine selection , ambiance are all outstanding and deserve recognition .","The service , wine selection , ambiance are all outstanding and deserve recognition .",service,1,positive
"The service , $T$ , ambiance are all outstanding and deserve recognition .","The service , wine selection , ambiance are all outstanding and deserve recognition .",wine selection,1,positive
"The service , wine selection , $T$ are all outstanding and deserve recognition .","The service , wine selection , ambiance are all outstanding and deserve recognition .",ambiance,1,positive
"We were seated promptly as we had $T$ , however after that the service was slow .","We were seated promptly as we had reservations , however after that the service was slow .",reservations,1,positive
"We were seated promptly as we had reservations , however after that the $T$ was slow .","We were seated promptly as we had reservations , however after that the service was slow .",service,-1,negative
"It 's really also the $T$ , is good and the waiters are friendly .","It 's really also the service , is good and the waiters are friendly .",service,1,positive
"It 's really also the service , is good and the $T$ are friendly .","It 's really also the service , is good and the waiters are friendly .",waiters,1,positive
"The food was pretty good , but a little flavorless and the portions very small , including $T$ .","The food was pretty good , but a little flavorless and the portions very small , including dessert .",dessert,-1,negative
"The food was pretty good , but a little flavorless and the $T$ very small , including dessert .","The food was pretty good , but a little flavorless and the portions very small , including dessert .",portions,-1,negative
"It is set far from the small street it 's on , and there is no $T$ .","It is set far from the small street it 's on , and there is no traffic noise .",traffic noise,1,positive
Lived in Shanghai most of my life and thought the $T$ was comparable to the flagship Green Bo restaurant there .,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there .,food,1,positive
"I highly recommend Cafe St. Bart 's for their $T$ , the ambience and wonderful service .","I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",food,1,positive
"I highly recommend Cafe St. Bart 's for their food , the $T$ and wonderful service .","I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",ambience,1,positive
"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful $T$ .","I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",service,1,positive
This is a nice restaurant if you are looking for a good place to host an intimate $T$ with business associates .,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,dinner meeting,0,neutral
All the NYU students love this place so it makes for a fun young $T$ .,All the NYU students love this place so it makes for a fun young atmosphere .,atmosphere,1,positive
The $T$ here does a great service to the name -LRB- Cantonese that is ... -RRB- .,The food here does a great service to the name -LRB- Cantonese that is ... -RRB- .,food,1,positive
The food here does a great service to the name -LRB- $T$ that is ... -RRB- .,The food here does a great service to the name -LRB- Cantonese that is ... -RRB- .,Cantonese,1,positive
"But , nothing stands out about the $T$ .","But , nothing stands out about the cooking .",cooking,0,neutral
Joya used to be a cool spot with decent $T$ and a colorful - if not relaxed - atmosphere .,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere .,food,1,positive
Joya used to be a cool spot with decent food and a colorful - if not relaxed - $T$ .,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere .,atmosphere,1,positive
The $T$ is worth every penny and you get more than enough -LRB- both in quantity AND quality -RRB- .,The Prix Fixe menu is worth every penny and you get more than enough -LRB- both in quantity AND quality -RRB- .,Prix Fixe menu,1,positive
The Prix Fixe menu is worth every penny and you get more than enough -LRB- both in $T$ AND quality -RRB- .,The Prix Fixe menu is worth every penny and you get more than enough -LRB- both in quantity AND quality -RRB- .,quantity,1,positive
The Prix Fixe menu is worth every penny and you get more than enough -LRB- both in quantity AND $T$ -RRB- .,The Prix Fixe menu is worth every penny and you get more than enough -LRB- both in quantity AND quality -RRB- .,quality,1,positive
I 've been here 3 times for $T$ and it is one of my favorites in the city .,I 've been here 3 times for lunch and it is one of my favorites in the city .,lunch,0,neutral
"I had their $T$ for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .","I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",eggs benedict,-1,negative
"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the $T$ completely that was how failed it was .","I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",hollondaise sauce,-1,negative
"I had their eggs benedict for $T$ , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .","I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",brunch,0,neutral
"I work near-by , and they have the BEST $T$ in the neighborhood - not a packaged or quick-cooked item .","I work near-by , and they have the BEST oatmeal in the neighborhood - not a packaged or quick-cooked item .",oatmeal,1,positive
Too bad the $T$ was n't of the same heritage .,Too bad the food was n't of the same heritage .,food,-1,negative
"The $T$ looked good , except for offering the Chilean Sea Bass , but the server does not offer up the specials that were written on the board outside .","The menu looked good , except for offering the Chilean Sea Bass , but the server does not offer up the specials that were written on the board outside .",menu,1,positive
"The menu looked good , except for offering the $T$ , but the server does not offer up the specials that were written on the board outside .","The menu looked good , except for offering the Chilean Sea Bass , but the server does not offer up the specials that were written on the board outside .",Chilean Sea Bass,-1,negative
"The menu looked good , except for offering the Chilean Sea Bass , but the $T$ does not offer up the specials that were written on the board outside .","The menu looked good , except for offering the Chilean Sea Bass , but the server does not offer up the specials that were written on the board outside .",server,-1,negative
"The menu looked good , except for offering the Chilean Sea Bass , but the server does not offer up the $T$ that were written on the board outside .","The menu looked good , except for offering the Chilean Sea Bass , but the server does not offer up the specials that were written on the board outside .",specials,0,neutral
"The $T$ was really good , I had the onion soup and it was one of the best ever .","The food was really good , I had the onion soup and it was one of the best ever .",food,1,positive
"The food was really good , I had the $T$ and it was one of the best ever .","The food was really good , I had the onion soup and it was one of the best ever .",onion soup,1,positive
"overall , a solid restaurant and at less than $ 40pp -LRB- including $T$ -RRB- , a solid deal as well .","overall , a solid restaurant and at less than $ 40pp -LRB- including wine -RRB- , a solid deal as well .",wine,0,neutral
"Since it literally is a complete hole in the wall , it 's a bit intimidating at first , but you get over that very quickly as soon as the friendly $T$ welcomes you - do n't hesitate to ask for help with what to get .","Since it literally is a complete hole in the wall , it 's a bit intimidating at first , but you get over that very quickly as soon as the friendly staff welcomes you - do n't hesitate to ask for help with what to get .",staff,1,positive
"Based on the reviews for dinner , this is a place I would reconsider revisiting for that , but definitely not for $T$ again .","Based on the reviews for dinner , this is a place I would reconsider revisiting for that , but definitely not for Dim Sum again .",Dim Sum,-1,negative
"Based on the reviews for $T$ , this is a place I would reconsider revisiting for that , but definitely not for Dim Sum again .","Based on the reviews for dinner , this is a place I would reconsider revisiting for that , but definitely not for Dim Sum again .",dinner,1,positive
"It costs $ 2 extra to turn a regular $T$ into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice .","It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice .",roll,-1,negative
"It costs $ 2 extra to turn a regular roll into an inside-out $T$ , but the roll more than triples in size , and that 's not just from the rice .","It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice .",roll,-1,negative
"It costs $ 2 extra to turn a regular roll into an inside-out roll , but the $T$ more than triples in size , and that 's not just from the rice .","It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice .",roll,-1,negative
"It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the $T$ .","It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice .",rice,0,neutral
"When he finally did , he was unable to make a $T$ -- could n't find tonic .","When he finally did , he was unable to make a gin and tonic -- could n't find tonic .",gin and tonic,0,neutral
"When he finally did , he was unable to make a gin and tonic -- could n't find $T$ .","When he finally did , he was unable to make a gin and tonic -- could n't find tonic .",tonic,0,neutral
"The $T$ is ok but does n't taste that fresh , and the little dishes do n't look steamy hot as they should -LRB- also note lack of Chinese here -RRB- .","The dim sum is ok but does n't taste that fresh , and the little dishes do n't look steamy hot as they should -LRB- also note lack of Chinese here -RRB- .",dim sum,-1,negative
"The dim sum is ok but does n't taste that fresh , and the $T$ do n't look steamy hot as they should -LRB- also note lack of Chinese here -RRB- .","The dim sum is ok but does n't taste that fresh , and the little dishes do n't look steamy hot as they should -LRB- also note lack of Chinese here -RRB- .",little dishes,-1,negative
"The $T$ is ok , some of the people did n't get what they asked for .","The service is ok , some of the people did n't get what they asked for .",service,0,neutral
If you want good authentic $T$ this place is not the place to go .,If you want good authentic Thai this place is not the place to go .,Thai,-1,negative
I recommend getting a $T$ even though we saw people seated without one .,I recommend getting a reservation even though we saw people seated without one .,reservation,0,neutral
The only thing I moderately enjoyed was their $T$ .,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Grilled Chicken special with Edamame Puree,0,neutral
"If you want some $T$ , pork or chicken on rice with ginger , try them out !","If you want some roast duck , pork or chicken on rice with ginger , try them out !",roast duck,1,positive
"If you want some roast duck , $T$ or chicken on rice with ginger , try them out !","If you want some roast duck , pork or chicken on rice with ginger , try them out !",pork,1,positive
"If you want some roast duck , pork or $T$ , try them out !","If you want some roast duck , pork or chicken on rice with ginger , try them out !",chicken on rice with ginger,1,positive
"You order from a $T$ , so you leave feeling like you missed the full experience .","You order from a menu , so you leave feeling like you missed the full experience .",menu,-1,negative
$T$ is very accomodating .,Staff is very accomodating .,Staff,1,positive
I went to Del Frisco 's Friday night with my boyfriend for an 8:00 $T$ .,I went to Del Frisco 's Friday night with my boyfriend for an 8:00 reservation .,reservation,0,neutral
yourself a favor and have $T$ here and see if you dont agree with me .,yourself a favor and have dinner here and see if you dont agree with me .,dinner,0,neutral
Very popular style Izakaya -LRB- $T$ and small portion of sake-friendly dishes -RRB- .,Very popular style Izakaya -LRB- Sake and small portion of sake-friendly dishes -RRB- .,Sake,1,positive
Very popular style Izakaya -LRB- Sake and small portion of sake-friendly $T$ -RRB- .,Very popular style Izakaya -LRB- Sake and small portion of sake-friendly dishes -RRB- .,dishes,1,positive
Very popular style Izakaya -LRB- Sake and small $T$ of sake-friendly dishes -RRB- .,Very popular style Izakaya -LRB- Sake and small portion of sake-friendly dishes -RRB- .,portion,0,neutral
"The $T$ was terrific and the service classy , attentive , without being overbearing .","The food was terrific and the service classy , attentive , without being overbearing .",food,1,positive
"The food was terrific and the $T$ classy , attentive , without being overbearing .","The food was terrific and the service classy , attentive , without being overbearing .",service,1,positive
This is an amazing place to try some $T$ .,This is an amazing place to try some roti rolls .,roti rolls,1,positive
Fresh $T$ and everything is made to order .,Fresh ingredients and everything is made to order .,ingredients,1,positive
"We have never had any problems with charging the $T$ or the tip , and the food was delivered quickly , but we live only a few minutes walk from them .","We have never had any problems with charging the meal or the tip , and the food was delivered quickly , but we live only a few minutes walk from them .",meal,1,positive
"We have never had any problems with charging the meal or the tip , and the $T$ was delivered quickly , but we live only a few minutes walk from them .","We have never had any problems with charging the meal or the tip , and the food was delivered quickly , but we live only a few minutes walk from them .",food,1,positive
"We have never had any problems with charging the meal or the $T$ , and the food was delivered quickly , but we live only a few minutes walk from them .","We have never had any problems with charging the meal or the tip , and the food was delivered quickly , but we live only a few minutes walk from them .",tip,1,positive
Quick and friendly $T$ .,Quick and friendly service .,service,1,positive
"They are tasty , but I suggest only eating one with $T$ because they tend not to mesh that well with the average American digestive system .","They are tasty , but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system .",meat,0,neutral
"Try the $T$ too , they 're snappy and delicious .","Try the hot dogs too , they 're snappy and delicious .",hot dogs,1,positive
$T$ is fast too .,Delivery is fast too .,Delivery,1,positive
"The $T$ was unbearable , conversation impossible .","The noise level was unbearable , conversation impossible .",noise level,-1,negative
$T$ are the perfect size for those hungry nights .,Personal pans are the perfect size for those hungry nights .,Personal pans,1,positive
Highly recommended is the $T$ and Spider Rolls .,Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls .,Spicy Fried Clam Rolls,1,positive
Highly recommended is the Spicy Fried Clam Rolls and $T$ .,Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls .,Spider Rolls,1,positive
One of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the $T$ in a positive way .,One of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way .,menu,1,positive
The $T$ is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon .,The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon .,atmosphere,1,positive
"Odd for Ave B , not just odd , The $T$ attracts an eclectic crowd to say the least .","Odd for Ave B , not just odd , The place attracts an eclectic crowd to say the least .",place,1,positive
Instead of wasting your time here : SUPPORT RESTAURANTS THAT CARE ABOUT $T$ .,Instead of wasting your time here : SUPPORT RESTAURANTS THAT CARE ABOUT FOOD .,FOOD,0,neutral
just got back from $T$ at Tamarind and it was excellent .,just got back from lunch at Tamarind and it was excellent .,lunch,1,positive
"head and shoulders above its neighboors on east 6 st , taj mahal is also very comparable , in $T$ , to the much overpraised -LRB- and underdeserving -RRB- baluchi 's .","head and shoulders above its neighboors on east 6 st , taj mahal is also very comparable , in food quality , to the much overpraised -LRB- and underdeserving -RRB- baluchi 's .",food quality,1,positive
"The $T$ that was hosting promised to save a table for our party of 7 , then sat a party of 2 at the very table he was saving -LRB- mean while there were boths open all around -RRB- .","The man that was hosting promised to save a table for our party of 7 , then sat a party of 2 at the very table he was saving -LRB- mean while there were boths open all around -RRB- .",man,-1,negative
"The man that was hosting promised to save a $T$ for our party of 7 , then sat a party of 2 at the very table he was saving -LRB- mean while there were boths open all around -RRB- .","The man that was hosting promised to save a table for our party of 7 , then sat a party of 2 at the very table he was saving -LRB- mean while there were boths open all around -RRB- .",table,0,neutral
"The man that was hosting promised to save a table for our party of 7 , then sat a party of 2 at the very $T$ he was saving -LRB- mean while there were boths open all around -RRB- .","The man that was hosting promised to save a table for our party of 7 , then sat a party of 2 at the very table he was saving -LRB- mean while there were boths open all around -RRB- .",table,-1,negative
Try the $T$ !,Try the cheesecake !,cheesecake,1,positive
As we were sitting eating the subpar $T$ the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were .,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were .,food,-1,negative
As we were sitting eating the subpar food the manager proceeded to berate a couple of his $T$ for putting out the wrong containers for condiments and explained to them how expensive these containers were .,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were .,employees,-1,negative
As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong $T$ and explained to them how expensive these containers were .,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were .,containers for condiments,-1,negative
As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these $T$ were .,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were .,containers,0,neutral
As we were sitting eating the subpar food the $T$ proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were .,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were .,manager,-1,negative
Great $T$ and the service is incredible .,Great Indian food and the service is incredible .,Indian food,1,positive
Great Indian food and the $T$ is incredible .,Great Indian food and the service is incredible .,service,1,positive
"$T$ is nice and minimalist , food simple yet very well presented and cooked , and the wine list matches the food very well .","Decor is nice and minimalist , food simple yet very well presented and cooked , and the wine list matches the food very well .",Decor,1,positive
"Decor is nice and minimalist , $T$ simple yet very well presented and cooked , and the wine list matches the food very well .","Decor is nice and minimalist , food simple yet very well presented and cooked , and the wine list matches the food very well .",food,1,positive
"Decor is nice and minimalist , food simple yet very well presented and cooked , and the $T$ matches the food very well .","Decor is nice and minimalist , food simple yet very well presented and cooked , and the wine list matches the food very well .",wine list,1,positive
"Decor is nice and minimalist , food simple yet very well presented and cooked , and the wine list matches the $T$ very well .","Decor is nice and minimalist , food simple yet very well presented and cooked , and the wine list matches the food very well .",food,0,neutral
"I had the salmon dish and while it was fine , for the price paid , I expected it to have some type of $T$ .","I had the salmon dish and while it was fine , for the price paid , I expected it to have some type of flavor .",flavor,-1,negative
"I had the salmon dish and while it was fine , for the $T$ paid , I expected it to have some type of flavor .","I had the salmon dish and while it was fine , for the price paid , I expected it to have some type of flavor .",price,0,neutral
We ordered a $T$ - it came with out cheese which just made it a tuna sandwich .,We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich .,tuna melt,-1,negative
We ordered a tuna melt - it came with out $T$ which just made it a tuna sandwich .,We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich .,cheese,0,neutral
We ordered a tuna melt - it came with out cheese which just made it a $T$ .,We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich .,tuna sandwich,-1,negative
"Especially liked $T$ and the naan , and the dals .","Especially liked chicken tikka and the naan , and the dals .",chicken tikka,1,positive
"Especially liked chicken tikka and the $T$ , and the dals .","Especially liked chicken tikka and the naan , and the dals .",naan,1,positive
"Especially liked chicken tikka and the naan , and the $T$ .","Especially liked chicken tikka and the naan , and the dals .",dals,1,positive
The $T$ were not attentive except that the bill turned up on the table before we were finished .,The waiters were not attentive except that the bill turned up on the table before we were finished .,waiters,-1,negative
The waiters were not attentive except that the $T$ turned up on the table before we were finished .,The waiters were not attentive except that the bill turned up on the table before we were finished .,bill,-1,negative
The restaurant looks out over beautiful green $T$ to the Hudson River and the Statue of Liberty .,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty .,lawns,1,positive
The $T$ was pretty tasty and good on a hot muggy day .,The sangria was pretty tasty and good on a hot muggy day .,sangria,1,positive
Do n't eat here unless you 're starving for $T$ and you work next door .,Do n't eat here unless you 're starving for thai food and you work next door .,thai food,-1,negative
"For the people who want great $T$ plus great service , Roxy is a place to AVOID !","For the people who want great food plus great service , Roxy is a place to AVOID !",food,-1,negative
"For the people who want great food plus great $T$ , Roxy is a place to AVOID !","For the people who want great food plus great service , Roxy is a place to AVOID !",service,-1,negative
I had the best $T$ ever .,I had the best ravioli ever .,ravioli,1,positive
Ive been here a bunch of times now and the $T$ is always outstanding .,Ive been here a bunch of times now and the service is always outstanding .,service,1,positive
The $T$ is approximately $ 25 for 2 at lunch without drinks .,The bill is approximately $ 25 for 2 at lunch without drinks .,bill,0,neutral
The bill is approximately $ 25 for 2 at $T$ without drinks .,The bill is approximately $ 25 for 2 at lunch without drinks .,lunch,0,neutral
The bill is approximately $ 25 for 2 at lunch without $T$ .,The bill is approximately $ 25 for 2 at lunch without drinks .,drinks,0,neutral
"Quite frankly , this is some of the worst $T$ I have ever tried .","Quite frankly , this is some of the worst sushi I have ever tried .",sushi,-1,negative
"The $T$ is great , service is ok .","The food is great , service is ok .",food,1,positive
"The food is great , $T$ is ok .","The food is great , service is ok .",service,0,neutral
"The overall $T$ was very very expensive , something I did expect .","The overall price tag was very very expensive , something I did expect .",price tag,-1,negative
"Spice is great $T$ , love the inexpensive appetizers .","Spice is great Thai food , love the inexpensive appetizers .",Thai food,1,positive
"Spice is great Thai food , love the inexpensive $T$ .","Spice is great Thai food , love the inexpensive appetizers .",appetizers,1,positive
The $T$ was attentive .,The service was attentive .,service,1,positive
"He not only makes his own homemade $T$ , but every pie is ultra fresh .","He not only makes his own homemade mozzarella , but every pie is ultra fresh .",mozzarella,1,positive
"He not only makes his own homemade mozzarella , but every $T$ is ultra fresh .","He not only makes his own homemade mozzarella , but every pie is ultra fresh .",pie,1,positive
$T$ was overdone .,Fish was overdone .,Fish,-1,negative
"When you 're sitting in their $T$ -LRB- which has a spectacular , hand-painted high ceiling -RRB- you 'd never know there was a world outside .","When you 're sitting in their main dining room -LRB- which has a spectacular , hand-painted high ceiling -RRB- you 'd never know there was a world outside .",main dining room,1,positive
"When you 're sitting in their main dining room -LRB- which has a spectacular , hand-painted high $T$ -RRB- you 'd never know there was a world outside .","When you 're sitting in their main dining room -LRB- which has a spectacular , hand-painted high ceiling -RRB- you 'd never know there was a world outside .",ceiling,1,positive
We visited Bread Bar during January restaurant week and were so pleased with the $T$ and service .,We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service .,menu selections,1,positive
We visited Bread Bar during January restaurant week and were so pleased with the menu selections and $T$ .,We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service .,service,1,positive
also make sure you pay attention to the $T$ being piped in - quite a weird selection .,also make sure you pay attention to the music being piped in - quite a weird selection .,music,0,neutral
The $T$ scores big points in presentation and style .,The establishment scores big points in presentation and style .,establishment,1,positive
Good $T$ .,Good food .,food,1,positive
"The $T$ is very friendly , if not overly efficient .","The wait staff is very friendly , if not overly efficient .",wait staff,1,positive
The $T$ however was very good .,The dim sum however was very good .,dim sum,1,positive
$T$ has always been friendly and efficient .,Service has always been friendly and efficient .,Service,1,positive
Went there and had a combination of different $T$ and appetizers .,Went there and had a combination of different seafood dishes and appetizers .,seafood dishes,0,neutral
Went there and had a combination of different seafood dishes and $T$ .,Went there and had a combination of different seafood dishes and appetizers .,appetizers,0,neutral
Its a great place for a casual date or to entertain clients for $T$ .,Its a great place for a casual date or to entertain clients for lunch .,lunch,0,neutral
All we received was an apology as we left to see our show without $T$ .,All we received was an apology as we left to see our show without dinner .,dinner,0,neutral
The table next to us asked if he crushed the grapes himself when their long overdue $T$ finally arrived .,The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived .,bottle of wine,0,neutral
The table next to us asked if he crushed the $T$ himself when their long overdue bottle of wine finally arrived .,The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived .,grapes,0,neutral
$T$ are very good .,Prices are very good .,Prices,1,positive
"We could not catch our $T$ 's eye , and he ignored us .","We could not catch our waiter 's eye , and he ignored us .",waiter,-1,negative
Plain and simple it 's bad $T$ .,Plain and simple it 's bad thai food .,thai food,-1,negative
Usually 3 vs. 4 items per $T$ .,Usually 3 vs. 4 items per dish .,dish,0,neutral
"While certain staples are excellent -LRB- the $T$ , some of the pastas -RRB- , the food is not really the point .","While certain staples are excellent -LRB- the burger , some of the pastas -RRB- , the food is not really the point .",burger,1,positive
"While certain staples are excellent -LRB- the burger , some of the $T$ -RRB- , the food is not really the point .","While certain staples are excellent -LRB- the burger , some of the pastas -RRB- , the food is not really the point .",pastas,1,positive
"While certain staples are excellent -LRB- the burger , some of the pastas -RRB- , the $T$ is not really the point .","While certain staples are excellent -LRB- the burger , some of the pastas -RRB- , the food is not really the point .",food,0,neutral
"While certain $T$ are excellent -LRB- the burger , some of the pastas -RRB- , the food is not really the point .","While certain staples are excellent -LRB- the burger , some of the pastas -RRB- , the food is not really the point .",staples,1,positive
"The $T$ was so-so , but not spectacular .","The Dim Sum was so-so , but not spectacular .",Dim Sum,0,neutral
The $T$ was so-so .,The food was so-so .,food,0,neutral
"The $T$ , seems to be more concerned of looking good than actually waitressing .","The waitress , seems to be more concerned of looking good than actually waitressing .",waitress,-1,negative
"The place is larger than most and features adequate $T$ unlike most joints , and has a bar which deserves a mention .","The place is larger than most and features adequate seating unlike most joints , and has a bar which deserves a mention .",seating,1,positive
"The place is larger than most and features adequate seating unlike most joints , and has a $T$ which deserves a mention .","The place is larger than most and features adequate seating unlike most joints , and has a bar which deserves a mention .",bar,1,positive
"The $T$ is larger than most and features adequate seating unlike most joints , and has a bar which deserves a mention .","The place is larger than most and features adequate seating unlike most joints , and has a bar which deserves a mention .",place,1,positive
Threw my fiance 's surprise 30th birthday $T$ here could n't be happier .,Threw my fiance 's surprise 30th birthday dinner here could n't be happier .,dinner,0,neutral
$T$ - awesome .,Food - awesome .,Food,1,positive
"good $T$ , great food , speedy service affordable prices .","good music , great food , speedy service affordable prices .",music,1,positive
